prompt,project code,project_status,project name,Approval date,Code Questions
P-MA-I00-006 represents PROGRAMME D’APPUI À L’AMÉLIORATION DES RÉSULTATS DES SECTEURS SOCIAUX AU MAROC happening in Morocco which has status as Approved ->,P-MA-I00-006,Approved,Programme d’appui à l’amélioration des résultats des secteurs sociaux au maroc happening in morocco,13-Dec-2018.,Details regarding project P-MA-I00-006
P-MA-K00-016 represents PROJET D’APPUI AU RENFORCEMENT DES CAPACITES DE LA COMMISSION NATIONALE DE LA COMMANDE PUBLIQUE happening in Morocco which has status as Approved ->,P-MA-K00-016,Approved,Projet d’appui au renforcement des capacites de la commission nationale de la commande publique happening in morocco,12-Dec-2018.,Details regarding project P-MA-K00-016
P-Z1-HAA-091 represents DON À LA BANQUE MAGHRÉBINE D’INVESTISSEMENT ET DE COMMERCE EXTÉRIEUR (BMICE) happening in Multinational which has status as Approved ->,P-Z1-HAA-091,Approved,Don à la banque maghrébine d’investissement et de commerce extérieur (bmice) happening in multinational,12-Dec-2018.,Details regarding project P-Z1-HAA-091
P-MR-AAC-011 represents PROJET D'APPUI À LA TRANSFORMATION AGRICOLE EN MAURITANIE (PATAM) happening in Mauritania which has status as Approved ->,P-MR-AAC-011,Approved,Projet d'appui à la transformation agricole en mauritanie (patam) happening in mauritania,12-Dec-2018.,Details regarding project P-MR-AAC-011
P-CI-KF0-003 represents PROJET D’APPUI À LA GOUVERNANCE DE LA FILIÈRE CACAO (PAGFIC) happening in Côte D'Ivoire which has status as Approved ->,P-CI-KF0-003,Approved,Projet d’appui à la gouvernance de la filière cacao (pagfic) happening in côte d'ivoire,11-Dec-2018.,Details regarding project P-CI-KF0-003
P-GH-KF0-003 represents GHANA COCOA SECTOR INSTITUTIONAL SUPPORT PROJECT happening in Ghana which has status as Approved ->,P-GH-KF0-003,Approved,Ghana cocoa sector institutional support project happening in ghana,11-Dec-2018.,Details regarding project P-GH-KF0-003
P-ML-DB0-015 represents PROGRAMME D’AMEN. ROUTIER DE LA BRANCHE MALIENNE DE LA TRANSSAHARIENNE happening in Mali which has status as Approved ->,P-ML-DB0-015,Approved,Programme d’amen. routier de la branche malienne de la transsaharienne happening in mali,11-Dec-2018.,Details regarding project P-ML-DB0-015
P-KE-EB0-010 represents NAIROBI RIVERS BASINS REHABILITATION RESTORATION: SEWERAGE IMPROVEMENT PROJECT-PHASE II happening in Kenya which has status as Approved ->,P-KE-EB0-010,Approved,Nairobi rivers basins rehabilitation restoration: sewerage improvement project-phase ii happening in kenya,11-Dec-2018.,Details regarding project P-KE-EB0-010
P-EG-I00-015 represents ENHANCEMENT OF ENTREPRENEURSHIP ECOSYSTEM happening in Egypt which has status as Approved ->,P-EG-I00-015,Approved,Enhancement of entrepreneurship ecosystem happening in egypt,07-Dec-2018.,Details regarding project P-EG-I00-015
P-GM-AA0-016 represents RICE VALUE CHAIN TRANSFORMATION PROGRAM (RVCTP) happening in Gambia which has status as Approved ->,P-GM-AA0-016,Approved,Rice value chain transformation program (rvctp) happening in gambia,06-Dec-2018.,Details regarding project P-GM-AA0-016
P-CV-DD0-005 represents PROJET DE CONSTRUCTION DU PORT DE MAIO ET DE PALMEIRA happening in Cape Verde which has status as Approved ->,P-CV-DD0-005,Approved,Projet de construction du port de maio et de palmeira happening in cape verde,06-Dec-2018.,Details regarding project P-CV-DD0-005
P-ET-AAG-005 represents INTEGRATED AGRO INDUSTRIAL PARK DEVELOPMENT PROJECT happening in Ethiopia which has status as Approved ->,P-ET-AAG-005,Approved,Integrated agro industrial park development project happening in ethiopia,05-Dec-2018.,Details regarding project P-ET-AAG-005
P-SL-E00-004 represents FREETOWN WASH & AQUATIC ENVIRONMENT REVAMPING PROJECT happening in Sierra Leone which has status as Approved ->,P-SL-E00-004,Approved,Freetown wash & aquatic environment revamping project happening in sierra leone,05-Dec-2018.,Details regarding project P-SL-E00-004
P-MW-AA0-024 represents SHIRE VALLEY TRANSFORMATION PROJECT happening in Malawi which has status as Approved ->,P-MW-AA0-024,Approved,Shire valley transformation project happening in malawi,04-Dec-2018.,Details regarding project P-MW-AA0-024
P-ZW-CB0-001 represents EMERGENCY ASSISTANCE TO SUPPORT EFFORTS TO CONTROL AND AVERT THE 2018 CHOLERA OUTBREAK happening in Zimbabwe which has status as Approved ->,P-ZW-CB0-001,Approved,Emergency assistance to support efforts to control and avert the 2018 cholera outbreak happening in zimbabwe,04-Dec-2018.,Details regarding project P-ZW-CB0-001
P-ML-I00-006 represents PROJET D’AUTONOMISATION ECONOMIQUE DES FEMMES DANS LA FILIERE KARITE (PAEFFK) happening in Mali which has status as Approved ->,P-ML-I00-006,Approved,Projet d’autonomisation economique des femmes dans la filiere karite (paeffk) happening in mali,03-Dec-2018.,Details regarding project P-ML-I00-006
P-KE-AAD-005 represents GREEN ZONES DEVELOPMENT SUPPORT PROJECT-PHASE 2 happening in Kenya which has status as Approved ->,P-KE-AAD-005,Approved,Green zones development support project-phase 2 happening in kenya,03-Dec-2018.,Details regarding project P-KE-AAD-005
P-NG-KA0-005 represents INSTITUTIONAL SUPPORT PROJECT FOR ECONOMIC MANAGEMENT AND DELIVERY PROJECT happening in Nigeria which has status as Approved ->,P-NG-KA0-005,Approved,Institutional support project for economic management and delivery project happening in nigeria,03-Dec-2018.,Details regarding project P-NG-KA0-005
P-Z1-FA0-165 represents PROJET HYDROELECTRIQUE RUZIZI IV-ETATS DES GRANDS LACS-EGL happening in Multinational which has status as Approved ->,P-Z1-FA0-165,Approved,Projet hydroelectrique ruzizi iv-etats des grands lacs-egl happening in multinational,02-Dec-2018.,Details regarding project P-Z1-FA0-165
P-ZA-FF0-001 represents REDSTONE CONCENTRATED SOLAR POWER happening in South Africa which has status as Approved ->,P-ZA-FF0-001,Approved,Redstone concentrated solar power happening in south africa,29-Nov-2018.,Details regarding project P-ZA-FF0-001
P-CM-K00-009 represents PROGRAMME D’APPUI À LA COMPÉTITIVITÉ ET LA CROISSANCE ÉCONOMIQUE PHASE II happening in Cameroon which has status as Approved ->,P-CM-K00-009,Approved,Programme d’appui à la compétitivité et la croissance économique phase ii happening in cameroon,29-Nov-2018.,Details regarding project P-CM-K00-009
P-NG-F00-020 represents NIGERIA ELECTRIFICATION PROJECT happening in Nigeria which has status as Approved ->,P-NG-F00-020,Approved,Nigeria electrification project happening in nigeria,29-Nov-2018.,Details regarding project P-NG-F00-020
P-SZ-EA0-003 represents MANZINI REGION WATER SUPPLY AND SANITATION PROJECT happening in Swaziland which has status as Approved ->,P-SZ-EA0-003,Approved,Manzini region water supply and sanitation project happening in swaziland,29-Nov-2018.,Details regarding project P-SZ-EA0-003
P-Z1-DB0-225 represents EAC-REHABILITATION OF SELECTED ROAD-OSBP MANYOVU-MUGINA BORDER POST (BURUNDI-TANZANIA ROAD) PROJECT happening in Multinational which has status as Approved ->,P-Z1-DB0-225,Approved,Eac-rehabilitation of selected road-osbp manyovu-mugina border post (burundi-tanzania road) project happening in multinational,29-Nov-2018.,Details regarding project P-Z1-DB0-225
P-Z1-HA0-024 represents FIRSTRAND BANK LIMITED happening in Multinational which has status as Approved ->,P-Z1-HA0-024,Approved,Firstrand bank limited happening in multinational,29-Nov-2018.,Details regarding project P-Z1-HA0-024
P-Z1-D00-045 represents MADAGASCAR-OCÉAN INDIEN: PROJET D'AMÉNAGEMENT DE CORRIDORS ET DE FACILITATION DE COMMERCE happening in Multinational which has status as Approved ->,P-Z1-D00-045,Approved,Madagascar-océan indien: projet d'aménagement de corridors et de facilitation de commerce happening in multinational,27-Nov-2018.,Details regarding project P-Z1-D00-045
P-CM-DB0-017 represents PROGRAMME D'APPUI AU SECTEUR DES TRANSPORTS - PHASE 3: CONSTRUCTION DE LA RING ROAD happening in Cameroon which has status as Approved ->,P-CM-DB0-017,Approved,Programme d'appui au secteur des transports - phase 3: construction de la ring road happening in cameroon,27-Nov-2018.,Details regarding project P-CM-DB0-017
P-KE-FF0-001 represents KOPERE 40 MW SOLAR PV IPP happening in Kenya which has status as Approved ->,P-KE-FF0-001,Approved,Kopere 40 mw solar pv ipp happening in kenya,27-Nov-2018.,Details regarding project P-KE-FF0-001
P-NE-KA0-013 represents PROGRAMME D'APPUI AUX RÉFORMES ET A LA RESILIENCE ECONOMIQUE PHASE 2 happening in Niger which has status as Ongoing ->,P-NE-KA0-013,Ongoing,Programme d'appui aux réformes et a la resilience economique phase 2 happening in niger,27-Nov-2018.,Details regarding project P-NE-KA0-013
P-GH-A00-007 represents COCOBOD happening in Ghana which has status as Approved ->,P-GH-A00-007,Approved,Cocobod happening in ghana,27-Nov-2018.,Details regarding project P-GH-A00-007
P-SN-F00-009 represents MALICOUNDA 120 MW HFO IPP happening in Senegal which has status as Approved ->,P-SN-F00-009,Approved,Malicounda 120 mw hfo ipp happening in senegal,27-Nov-2018.,Details regarding project P-SN-F00-009
P-Z1-DB0-204 represents MULTINATIONAL (TANZANIA) TZ/BDI:RUMONGE–GITAZA/KIBONDO-KASULU-MANYOVU ROAD PROJECT happening in Multinational which has status as Approved ->,P-Z1-DB0-204,Approved,Multinational (tanzania) tz/bdi:rumonge–gitaza/kibondo-kasulu-manyovu road project happening in multinational,22-Nov-2018.,Details regarding project P-Z1-DB0-204
P-Z1-DB0-224 represents MULTINATIONAL (BURUNDI) BDI/TZ: RUMONGE–GITAZA/KIBONDO-KASULU-MANYOVU ROAD PROJECT happening in Multinational which has status as Approved ->,P-Z1-DB0-224,Approved,Multinational (burundi) bdi/tz: rumonge–gitaza/kibondo-kasulu-manyovu road project happening in multinational,22-Nov-2018.,Details regarding project P-Z1-DB0-224
P-GA-KA0-007 represents PROGRAMME D’APPUI AUX RÉFORMES ECONOMIQUES ET FINANCIÈRES PHASE III(PAREF III) happening in Gabon which has status as Approved ->,P-GA-KA0-007,Approved,Programme d’appui aux réformes economiques et financières phase iii(paref iii) happening in gabon,22-Nov-2018.,Details regarding project P-GA-KA0-007
P-MA-B00-002 represents JORF PHOSPHATE HUB EXPANSION PROGRAM - OCP II LOAN happening in Morocco which has status as Approved ->,P-MA-B00-002,Approved,Jorf phosphate hub expansion program - ocp ii loan happening in morocco,22-Nov-2018.,Details regarding project P-MA-B00-002
P-GN-A00-004 represents PROJET D’APPUI À LA TRANSFORMATION DE L’AGRICULTURE GUINÉENNE-PATAG-JEUNE happening in Guinea which has status as Approved ->,P-GN-A00-004,Approved,Projet d’appui à la transformation de l’agriculture guinéenne-patag-jeune happening in guinea,21-Nov-2018.,Details regarding project P-GN-A00-004
P-KE-EA0-006 represents THWAKE MULTIPURPOSE WATER DEVELOPMENT PROGRAM I - ADDITIONAL FINANCING happening in Kenya which has status as Approved ->,P-KE-EA0-006,Approved,Thwake multipurpose water development program i - additional financing happening in kenya,14-Nov-2018.,Details regarding project P-KE-EA0-006
P-ET-K00-015 represents ETHIOPIA BASIC SERVICES TRANSFORMATION PROGRAM- SUPPLEMENTARY FINANCING happening in Ethiopia which has status as Approved ->,P-ET-K00-015,Approved,Ethiopia basic services transformation program- supplementary financing happening in ethiopia,14-Nov-2018.,Details regarding project P-ET-K00-015
P-Z1-KF0-056 represents INDUSTRIAL POLICY SUPPORT - FAPA happening in Multinational which has status as Approved ->,P-Z1-KF0-056,Approved,Industrial policy support - fapa happening in multinational,13-Nov-2018.,Details regarding project P-Z1-KF0-056
P-TN-IA0-006 represents ASSISTANCE D’URGENCE AUX ETABLISSEMENTS SCOLAIRES AFFECTES PAR LES INTEMPERIES DANS NABEUL happening in Tunisia which has status as Approved ->,P-TN-IA0-006,Approved,Assistance d’urgence aux etablissements scolaires affectes par les intemperies dans nabeul happening in tunisia,13-Nov-2018.,Details regarding project P-TN-IA0-006
P-Z1-C00-069 represents NIGERIA-ABN PROGRAMME INTEGRE DE DEVELOPPEMENT ET D'ADAPTATION AUX CC DANS LE BASSIN DU NIGER happening in Multinational which has status as Approved ->,P-Z1-C00-069,Approved,Nigeria-abn programme integre de developpement et d'adaptation aux cc dans le bassin du niger happening in multinational,07-Nov-2018.,Details regarding project P-Z1-C00-069
P-CI-FA0-017 represents PROJET D'AMELIORATION DE L'ACCES A L'ELECTRICITE EN MILIEU RURAL happening in Côte D'Ivoire which has status as Approved ->,P-CI-FA0-017,Approved,Projet d'amelioration de l'acces a l'electricite en milieu rural happening in côte d'ivoire,07-Nov-2018.,Details regarding project P-CI-FA0-017
P-MA-DA0-006 represents PROJET D’EXTENSION ET DE MODERNISATION DE L’AÉROPORT DE RABAT SALÉ happening in Morocco which has status as Approved ->,P-MA-DA0-006,Approved,Projet d’extension et de modernisation de l’aéroport de rabat salé happening in morocco,05-Nov-2018.,Details regarding project P-MA-DA0-006
P-MA-E00-011 represents PROJET DE PERENNISATION ET DE SECURISATION DE L'ACCES A L'EAU happening in Morocco which has status as Approved ->,P-MA-E00-011,Approved,Projet de perennisation et de securisation de l'acces a l'eau happening in morocco,05-Nov-2018.,Details regarding project P-MA-E00-011
P-Z1-DZ0-024 represents ANGOLOLO MULTIPURPOSE WATER RESOURCES DEVELOPMENT PROJECT happening in Multinational which has status as Approved ->,P-Z1-DZ0-024,Approved,Angololo multipurpose water resources development project happening in multinational,02-Nov-2018.,Details regarding project P-Z1-DZ0-024
P-BJ-K00-005 represents PROGRAMME D'APPUI À LA COMPÉTITIVITÉ ÉCONOMIQUE DU BÉNIN happening in Benin which has status as Approved ->,P-BJ-K00-005,Approved,Programme d'appui à la compétitivité économique du bénin happening in benin,31-Oct-2018.,Details regarding project P-BJ-K00-005
P-TD-AB0-004 represents PROJET D'ETUDE D'AMENAGEMENT DE 135 000 HECTARES happening in Chad which has status as Approved ->,P-TD-AB0-004,Approved,Projet d'etude d'amenagement de 135 000 hectares happening in chad,31-Oct-2018.,Details regarding project P-TD-AB0-004
P-TD-K00-009 represents PROGRAMME D'APPUI A LA RELANCE ECONOMIQUE (PARE) I happening in Chad which has status as Approved ->,P-TD-K00-009,Approved,Programme d'appui a la relance economique (pare) i happening in chad,31-Oct-2018.,Details regarding project P-TD-K00-009
P-UG-DB0-023 represents KAMPALA - JINJA EXPRESSWAY PROJECT (SOVEREIGN OPERATIONS - PHASE 1) happening in Uganda which has status as Approved ->,P-UG-DB0-023,Approved,Kampala - jinja expressway project (sovereign operations - phase 1) happening in uganda,31-Oct-2018.,Details regarding project P-UG-DB0-023
P-Z1-HAB-051 represents NATIXIS RISK PARTICIPATION AGREEMENT happening in Multinational which has status as Approved ->,P-Z1-HAB-051,Approved,Natixis risk participation agreement happening in multinational,31-Oct-2018.,Details regarding project P-Z1-HAB-051
P-BF-A00-013 represents OPREATION D'AIDE D'URGENCE POUR LA LUTTE CONTRE LA CHENILLE LEGIONNAIRE happening in Burkina Faso which has status as Approved ->,P-BF-A00-013,Approved,Opreation d'aide d'urgence pour la lutte contre la chenille legionnaire happening in burkina faso,30-Oct-2018.,Details regarding project P-BF-A00-013
P-SZ-DB0-013 represents CONSTRUCTION OF MANZINI MBADLANE GOLF INTERCHANGE happening in Swaziland which has status as Approved ->,P-SZ-DB0-013,Approved,Construction of manzini mbadlane golf interchange happening in swaziland,24-Oct-2018.,Details regarding project P-SZ-DB0-013
P-CF-A00-003 represents PROJET DE DEVELOPPEMENT DES CHAINES DE VALEUR AGRICOLE (TAAT) happening in Centrafrique which has status as Ongoing ->,P-CF-A00-003,Ongoing,Projet de developpement des chaines de valeur agricole (taat) happening in centrafrique,22-Oct-2018.,Details regarding project P-CF-A00-003
P-MW-E00-011 represents NKHATA BAY TOWN WATER SUPPLY AND SANITATION PROJECT happening in Malawi which has status as Approved ->,P-MW-E00-011,Approved,Nkhata bay town water supply and sanitation project happening in malawi,22-Oct-2018.,Details regarding project P-MW-E00-011
P-DJ-IA0-004 represents AIDE D’URGENCE POUR LA REHABILITATION DES INFRASTRUCTURES SCOLAIRES ENDOMMAGEES PAR LE CYCLONE happening in Djibouti which has status as Approved ->,P-DJ-IA0-004,Approved,Aide d’urgence pour la rehabilitation des infrastructures scolaires endommagees par le cyclone happening in djibouti,18-Oct-2018.,Details regarding project P-DJ-IA0-004
P-ZA-D00-004 represents SA COMMUTER TRANSIT happening in South Africa which has status as Approved ->,P-ZA-D00-004,Approved,Sa commuter transit happening in south africa,18-Oct-2018.,Details regarding project P-ZA-D00-004
P-CD-DA0-003 represents PROJET PRIORITAIRE DE SECURITE AERIENNE PHASE 2 (PPSA 2) happening in Dem Rep Congo which has status as Approved ->,P-CD-DA0-003,Approved,Projet prioritaire de securite aerienne phase 2 (ppsa 2) happening in dem rep congo,18-Oct-2018.,Details regarding project P-CD-DA0-003
P-CI-D00-010 represents PROJET DE TRANSPORT URBAIN - ABIDJAN PHASE 2 happening in Côte D'Ivoire which has status as Approved ->,P-CI-D00-010,Approved,Projet de transport urbain - abidjan phase 2 happening in côte d'ivoire,16-Oct-2018.,Details regarding project P-CI-D00-010
P-CI-AAZ-002 represents AIDE HUMANITAIRES D’URGENCE DES POPULATIONS AFFECTÉES PAR INONDATIONS PLUIES DILUVIENNES À ABIDJ happening in Côte D'Ivoire which has status as Approved ->,P-CI-AAZ-002,Approved,Aide humanitaires d’urgence des populations affectées par inondations pluies diluviennes à abidj happening in côte d'ivoire,11-Oct-2018.,Details regarding project P-CI-AAZ-002
P-CD-IB0-001 represents AIDE D'URGENCE POUR LA LUTTE CONTRE L'EPIDEMIE DE LA MALADIE A VURIS D'EBOLA EN RDC happening in Dem Rep Congo which has status as Approved ->,P-CD-IB0-001,Approved,Aide d'urgence pour la lutte contre l'epidemie de la maladie a vuris d'ebola en rdc happening in dem rep congo,10-Oct-2018.,Details regarding project P-CD-IB0-001
P-TN-EB0-004 represents ASSAINISSEMENT DES PETITES COMMUNES DE MOINS DE 10 000 HABITANTS (PHASE I) RWSSI happening in Tunisia which has status as Approved ->,P-TN-EB0-004,Approved,Assainissement des petites communes de moins de 10 000 habitants (phase i) rwssi happening in tunisia,10-Oct-2018.,Details regarding project P-TN-EB0-004
P-TN-EB0-005 represents SSAINISSEMENT DES PETITES COMMUNES DE MOINS DE 10 000 HABITANTS (PHASE I) BAD happening in Tunisia which has status as Approved ->,P-TN-EB0-005,Approved,Ssainissement des petites communes de moins de 10 000 habitants (phase i) bad happening in tunisia,10-Oct-2018.,Details regarding project P-TN-EB0-005
P-Z1-DB0-206 represents PROJET D AMENAGEMENT DE LA ROUTE BOKE-QUEBO GUINEE – GUINEE BISSAU happening in Multinational which has status as Approved ->,P-Z1-DB0-206,Approved,Projet d amenagement de la route boke-quebo guinee – guinee bissau happening in multinational,10-Oct-2018.,Details regarding project P-Z1-DB0-206
P-Z1-DB0-221 represents PROJET D AMENAGEMENT DE LA ROUTE BOKE-QUEBO GUINEE – GUINEE BISSAU happening in Multinational which has status as Approved ->,P-Z1-DB0-221,Approved,Projet d amenagement de la route boke-quebo guinee – guinee bissau happening in multinational,10-Oct-2018.,Details regarding project P-Z1-DB0-221
P-NG-HAB-042 represents FIDELITY BANK happening in Nigeria which has status as Approved ->,P-NG-HAB-042,Approved,Fidelity bank happening in nigeria,10-Oct-2018.,Details regarding project P-NG-HAB-042
P-SN-FA0-005 represents PROJET D'AMELIORATION DE L'ACCES A L'ELECTRICITE DANS DES ZONES PERIURBAINES ET RURALES happening in Senegal which has status as Approved ->,P-SN-FA0-005,Approved,Projet d'amelioration de l'acces a l'electricite dans des zones periurbaines et rurales happening in senegal,03-Oct-2018.,Details regarding project P-SN-FA0-005
P-SN-KZ0-004 represents PROGRAMME D'URGENCE DE DÉVELOPPEMENT COMMUNAUTAIRE - PUDC happening in Senegal which has status as Approved ->,P-SN-KZ0-004,Approved,Programme d'urgence de développement communautaire - pudc happening in senegal,27-Sep-2018.,Details regarding project P-SN-KZ0-004
