,prompt,completion,project code,project_status,project name,Approval date,Code Questions
50,P-Z1-DB0-225 represents EAC-REHABILITATION OF SELECTED ROAD-OSBP MANYOVU-MUGINA BORDER POST (BURUNDI-TANZANIA ROAD) PROJECT happening in Multinational which has status as Approved ->,"Project was approved on 29-Nov-2018. 
",P-Z1-DB0-225,Approved,EAC-REHABILITATION OF SELECTED ROAD-OSBP MANYOVU-MUGINA BORDER POST (BURUNDI-TANZANIA ROAD) PROJECT happening in Multinational,29-Nov-2018.,Details regarding project P-Z1-DB0-225
51,P-Z1-HA0-024 represents FIRSTRAND BANK LIMITED happening in Multinational which has status as Approved ->,"Project was approved on 29-Nov-2018. 
",P-Z1-HA0-024,Approved,FIRSTRAND BANK LIMITED happening in Multinational,29-Nov-2018.,Details regarding project P-Z1-HA0-024
52,P-Z1-D00-045 represents MADAGASCAR-OCÉAN INDIEN: PROJET D'AMÉNAGEMENT DE CORRIDORS ET DE FACILITATION DE COMMERCE happening in Multinational which has status as Approved ->,"Project was approved on 27-Nov-2018. 
",P-Z1-D00-045,Approved,MADAGASCAR-OCÉAN INDIEN: PROJET D'AMÉNAGEMENT DE CORRIDORS ET DE FACILITATION DE COMMERCE happening in Multinational,27-Nov-2018.,Details regarding project P-Z1-D00-045
53,P-CM-DB0-017 represents PROGRAMME D'APPUI AU SECTEUR DES TRANSPORTS - PHASE 3: CONSTRUCTION DE LA RING ROAD happening in Cameroon which has status as Approved ->,"Project was approved on 27-Nov-2018. 
",P-CM-DB0-017,Approved,PROGRAMME D'APPUI AU SECTEUR DES TRANSPORTS - PHASE 3: CONSTRUCTION DE LA RING ROAD happening in Cameroon,27-Nov-2018.,Details regarding project P-CM-DB0-017
54,P-KE-FF0-001 represents KOPERE 40 MW SOLAR PV IPP happening in Kenya which has status as Approved ->,"Project was approved on 27-Nov-2018. 
",P-KE-FF0-001,Approved,KOPERE 40 MW SOLAR PV IPP happening in Kenya,27-Nov-2018.,Details regarding project P-KE-FF0-001
55,P-NE-KA0-013 represents PROGRAMME D'APPUI AUX RÉFORMES ET A LA RESILIENCE ECONOMIQUE PHASE 2 happening in Niger which has status as Ongoing ->,"Project was approved on 27-Nov-2018. 
",P-NE-KA0-013,Ongoing,PROGRAMME D'APPUI AUX RÉFORMES ET A LA RESILIENCE ECONOMIQUE PHASE 2 happening in Niger,27-Nov-2018.,Details regarding project P-NE-KA0-013
56,P-GH-A00-007 represents COCOBOD happening in Ghana which has status as Approved ->,"Project was approved on 27-Nov-2018. 
",P-GH-A00-007,Approved,COCOBOD happening in Ghana,27-Nov-2018.,Details regarding project P-GH-A00-007
57,P-SN-F00-009 represents MALICOUNDA 120 MW HFO IPP happening in Senegal which has status as Approved ->,"Project was approved on 27-Nov-2018. 
",P-SN-F00-009,Approved,MALICOUNDA 120 MW HFO IPP happening in Senegal,27-Nov-2018.,Details regarding project P-SN-F00-009
58,P-Z1-DB0-204 represents MULTINATIONAL (TANZANIA) TZ/BDI:RUMONGE–GITAZA/KIBONDO-KASULU-MANYOVU ROAD PROJECT happening in Multinational which has status as Approved ->,"Project was approved on 22-Nov-2018. 
",P-Z1-DB0-204,Approved,MULTINATIONAL (TANZANIA) TZ/BDI:RUMONGE–GITAZA/KIBONDO-KASULU-MANYOVU ROAD PROJECT happening in Multinational,22-Nov-2018.,Details regarding project P-Z1-DB0-204
59,P-Z1-DB0-224 represents MULTINATIONAL (BURUNDI) BDI/TZ: RUMONGE–GITAZA/KIBONDO-KASULU-MANYOVU ROAD PROJECT happening in Multinational which has status as Approved ->,"Project was approved on 22-Nov-2018. 
",P-Z1-DB0-224,Approved,MULTINATIONAL (BURUNDI) BDI/TZ: RUMONGE–GITAZA/KIBONDO-KASULU-MANYOVU ROAD PROJECT happening in Multinational,22-Nov-2018.,Details regarding project P-Z1-DB0-224
60,P-GA-KA0-007 represents PROGRAMME D’APPUI AUX RÉFORMES ECONOMIQUES ET FINANCIÈRES PHASE III(PAREF III) happening in Gabon which has status as Approved ->,"Project was approved on 22-Nov-2018. 
",P-GA-KA0-007,Approved,PROGRAMME D’APPUI AUX RÉFORMES ECONOMIQUES ET FINANCIÈRES PHASE III(PAREF III) happening in Gabon,22-Nov-2018.,Details regarding project P-GA-KA0-007
61,P-MA-B00-002 represents JORF PHOSPHATE HUB EXPANSION PROGRAM - OCP II LOAN happening in Morocco which has status as Approved ->,"Project was approved on 22-Nov-2018. 
",P-MA-B00-002,Approved,JORF PHOSPHATE HUB EXPANSION PROGRAM - OCP II LOAN happening in Morocco,22-Nov-2018.,Details regarding project P-MA-B00-002
62,P-GN-A00-004 represents PROJET D’APPUI À LA TRANSFORMATION DE L’AGRICULTURE GUINÉENNE-PATAG-JEUNE happening in Guinea which has status as Approved ->,"Project was approved on 21-Nov-2018. 
",P-GN-A00-004,Approved,PROJET D’APPUI À LA TRANSFORMATION DE L’AGRICULTURE GUINÉENNE-PATAG-JEUNE happening in Guinea,21-Nov-2018.,Details regarding project P-GN-A00-004
63,P-KE-EA0-006 represents THWAKE MULTIPURPOSE WATER DEVELOPMENT PROGRAM I - ADDITIONAL FINANCING happening in Kenya which has status as Approved ->,"Project was approved on 14-Nov-2018. 
",P-KE-EA0-006,Approved,THWAKE MULTIPURPOSE WATER DEVELOPMENT PROGRAM I - ADDITIONAL FINANCING happening in Kenya,14-Nov-2018.,Details regarding project P-KE-EA0-006
64,P-ET-K00-015 represents ETHIOPIA BASIC SERVICES TRANSFORMATION PROGRAM- SUPPLEMENTARY FINANCING happening in Ethiopia which has status as Approved ->,"Project was approved on 14-Nov-2018. 
",P-ET-K00-015,Approved,ETHIOPIA BASIC SERVICES TRANSFORMATION PROGRAM- SUPPLEMENTARY FINANCING happening in Ethiopia,14-Nov-2018.,Details regarding project P-ET-K00-015
65,P-Z1-KF0-056 represents INDUSTRIAL POLICY SUPPORT - FAPA happening in Multinational which has status as Approved ->,"Project was approved on 13-Nov-2018. 
",P-Z1-KF0-056,Approved,INDUSTRIAL POLICY SUPPORT - FAPA happening in Multinational,13-Nov-2018.,Details regarding project P-Z1-KF0-056
66,P-TN-IA0-006 represents ASSISTANCE D’URGENCE AUX ETABLISSEMENTS SCOLAIRES AFFECTES PAR LES INTEMPERIES DANS NABEUL happening in Tunisia which has status as Approved ->,"Project was approved on 13-Nov-2018. 
",P-TN-IA0-006,Approved,ASSISTANCE D’URGENCE AUX ETABLISSEMENTS SCOLAIRES AFFECTES PAR LES INTEMPERIES DANS NABEUL happening in Tunisia,13-Nov-2018.,Details regarding project P-TN-IA0-006
67,P-Z1-C00-069 represents NIGERIA-ABN PROGRAMME INTEGRE DE DEVELOPPEMENT ET D'ADAPTATION AUX CC DANS LE BASSIN DU NIGER happening in Multinational which has status as Approved ->,"Project was approved on 07-Nov-2018. 
",P-Z1-C00-069,Approved,NIGERIA-ABN PROGRAMME INTEGRE DE DEVELOPPEMENT ET D'ADAPTATION AUX CC DANS LE BASSIN DU NIGER happening in Multinational,07-Nov-2018.,Details regarding project P-Z1-C00-069
68,P-CI-FA0-017 represents PROJET D'AMELIORATION DE L'ACCES A L'ELECTRICITE EN MILIEU RURAL happening in Côte D'Ivoire which has status as Approved ->,"Project was approved on 07-Nov-2018. 
",P-CI-FA0-017,Approved,PROJET D'AMELIORATION DE L'ACCES A L'ELECTRICITE EN MILIEU RURAL happening in Côte D'Ivoire,07-Nov-2018.,Details regarding project P-CI-FA0-017
69,P-MA-DA0-006 represents PROJET D’EXTENSION ET DE MODERNISATION DE L’AÉROPORT DE RABAT SALÉ happening in Morocco which has status as Approved ->,"Project was approved on 05-Nov-2018. 
",P-MA-DA0-006,Approved,PROJET D’EXTENSION ET DE MODERNISATION DE L’AÉROPORT DE RABAT SALÉ happening in Morocco,05-Nov-2018.,Details regarding project P-MA-DA0-006
70,P-MA-E00-011 represents PROJET DE PERENNISATION ET DE SECURISATION DE L'ACCES A L'EAU happening in Morocco which has status as Approved ->,"Project was approved on 05-Nov-2018. 
",P-MA-E00-011,Approved,PROJET DE PERENNISATION ET DE SECURISATION DE L'ACCES A L'EAU happening in Morocco,05-Nov-2018.,Details regarding project P-MA-E00-011
71,P-Z1-DZ0-024 represents ANGOLOLO MULTIPURPOSE WATER RESOURCES DEVELOPMENT PROJECT happening in Multinational which has status as Approved ->,"Project was approved on 02-Nov-2018. 
",P-Z1-DZ0-024,Approved,ANGOLOLO MULTIPURPOSE WATER RESOURCES DEVELOPMENT PROJECT happening in Multinational,02-Nov-2018.,Details regarding project P-Z1-DZ0-024
