Question,Answer
P-GA-KA0-007 represents PROGRAMME D’APPUI AUX RÉFORMES ECONOMIQUES ET FINANCIÈRES PHASE III(PAREF III) happening in Gabon which has status as Approved ->,"Project was approved on 22-Nov-2018. 
"
P-MA-B00-002 represents JORF PHOSPHATE HUB EXPANSION PROGRAM - OCP II LOAN happening in Morocco which has status as Approved ->,"Project was approved on 22-Nov-2018. 
"
P-GN-A00-004 represents PROJET D’APPUI À LA TRANSFORMATION DE L’AGRICULTURE GUINÉENNE-PATAG-JEUNE happening in Guinea which has status as Approved ->,"Project was approved on 21-Nov-2018. 
"
P-KE-EA0-006 represents THWAKE MULTIPURPOSE WATER DEVELOPMENT PROGRAM I - ADDITIONAL FINANCING happening in Kenya which has status as Approved ->,"Project was approved on 14-Nov-2018. 
"
P-ET-K00-015 represents ETHIOPIA BASIC SERVICES TRANSFORMATION PROGRAM- SUPPLEMENTARY FINANCING happening in Ethiopia which has status as Approved ->,"Project was approved on 14-Nov-2018. 
"
P-Z1-KF0-056 represents INDUSTRIAL POLICY SUPPORT - FAPA happening in Multinational which has status as Approved ->,"Project was approved on 13-Nov-2018. 
"
P-TN-IA0-006 represents ASSISTANCE D’URGENCE AUX ETABLISSEMENTS SCOLAIRES AFFECTES PAR LES INTEMPERIES DANS NABEUL happening in Tunisia which has status as Approved ->,"Project was approved on 13-Nov-2018. 
"
P-Z1-C00-069 represents NIGERIA-ABN PROGRAMME INTEGRE DE DEVELOPPEMENT ET D'ADAPTATION AUX CC DANS LE BASSIN DU NIGER happening in Multinational which has status as Approved ->,"Project was approved on 07-Nov-2018. 
"
P-CI-FA0-017 represents PROJET D'AMELIORATION DE L'ACCES A L'ELECTRICITE EN MILIEU RURAL happening in Côte D'Ivoire which has status as Approved ->,"Project was approved on 07-Nov-2018. 
"
P-MA-DA0-006 represents PROJET D’EXTENSION ET DE MODERNISATION DE L’AÉROPORT DE RABAT SALÉ happening in Morocco which has status as Approved ->,"Project was approved on 05-Nov-2018. 
"
P-MA-E00-011 represents PROJET DE PERENNISATION ET DE SECURISATION DE L'ACCES A L'EAU happening in Morocco which has status as Approved ->,"Project was approved on 05-Nov-2018. 
"
P-Z1-DZ0-024 represents ANGOLOLO MULTIPURPOSE WATER RESOURCES DEVELOPMENT PROJECT happening in Multinational which has status as Approved ->,"Project was approved on 02-Nov-2018. 
"
P-BJ-K00-005 represents PROGRAMME D'APPUI À LA COMPÉTITIVITÉ ÉCONOMIQUE DU BÉNIN happening in Benin which has status as Approved ->,"Project was approved on 31-Oct-2018. 
"
P-TD-AB0-004 represents PROJET D'ETUDE D'AMENAGEMENT DE 135 000 HECTARES happening in Chad which has status as Approved ->,"Project was approved on 31-Oct-2018. 
"
P-TD-K00-009 represents PROGRAMME D'APPUI A LA RELANCE ECONOMIQUE (PARE) I happening in Chad which has status as Approved ->,"Project was approved on 31-Oct-2018. 
"
P-UG-DB0-023 represents KAMPALA - JINJA EXPRESSWAY PROJECT (SOVEREIGN OPERATIONS - PHASE 1) happening in Uganda which has status as Approved ->,"Project was approved on 31-Oct-2018. 
"
P-Z1-HAB-051 represents NATIXIS RISK PARTICIPATION AGREEMENT happening in Multinational which has status as Approved ->,"Project was approved on 31-Oct-2018. 
"
P-BF-A00-013 represents OPREATION D'AIDE D'URGENCE POUR LA LUTTE CONTRE LA CHENILLE LEGIONNAIRE happening in Burkina Faso which has status as Approved ->,"Project was approved on 30-Oct-2018. 
"
P-SZ-DB0-013 represents CONSTRUCTION OF MANZINI MBADLANE GOLF INTERCHANGE happening in Swaziland which has status as Approved ->,"Project was approved on 24-Oct-2018. 
"
P-CF-A00-003 represents PROJET DE DEVELOPPEMENT DES CHAINES DE VALEUR AGRICOLE (TAAT) happening in Centrafrique which has status as Ongoing ->,"Project was approved on 22-Oct-2018. 
"
P-MW-E00-011 represents NKHATA BAY TOWN WATER SUPPLY AND SANITATION PROJECT happening in Malawi which has status as Approved ->,"Project was approved on 22-Oct-2018. 
"
P-DJ-IA0-004 represents AIDE D’URGENCE POUR LA REHABILITATION DES INFRASTRUCTURES SCOLAIRES ENDOMMAGEES PAR LE CYCLONE happening in Djibouti which has status as Approved ->,"Project was approved on 18-Oct-2018. 
"
P-ZA-D00-004 represents SA COMMUTER TRANSIT happening in South Africa which has status as Approved ->,"Project was approved on 18-Oct-2018. 
"
P-CD-DA0-003 represents PROJET PRIORITAIRE DE SECURITE AERIENNE PHASE 2 (PPSA 2) happening in Dem Rep Congo which has status as Approved ->,"Project was approved on 18-Oct-2018. 
"
P-CI-D00-010 represents PROJET DE TRANSPORT URBAIN - ABIDJAN PHASE 2 happening in Côte D'Ivoire which has status as Approved ->,"Project was approved on 16-Oct-2018. 
"
P-CI-AAZ-002 represents AIDE HUMANITAIRES D’URGENCE DES POPULATIONS AFFECTÉES PAR INONDATIONS PLUIES DILUVIENNES À ABIDJ happening in Côte D'Ivoire which has status as Approved ->,"Project was approved on 11-Oct-2018. 
"
P-CD-IB0-001 represents AIDE D'URGENCE POUR LA LUTTE CONTRE L'EPIDEMIE DE LA MALADIE A VURIS D'EBOLA EN RDC happening in Dem Rep Congo which has status as Approved ->,"Project was approved on 10-Oct-2018. 
"
P-TN-EB0-004 represents ASSAINISSEMENT DES PETITES COMMUNES DE MOINS DE 10 000 HABITANTS (PHASE I) RWSSI happening in Tunisia which has status as Approved ->,"Project was approved on 10-Oct-2018. 
"
P-TN-EB0-005 represents SSAINISSEMENT DES PETITES COMMUNES DE MOINS DE 10 000 HABITANTS (PHASE I) BAD happening in Tunisia which has status as Approved ->,"Project was approved on 10-Oct-2018. 
"
P-Z1-DB0-206 represents PROJET D AMENAGEMENT DE LA ROUTE BOKE-QUEBO GUINEE – GUINEE BISSAU happening in Multinational which has status as Approved ->,"Project was approved on 10-Oct-2018. 
"
P-Z1-DB0-221 represents PROJET D AMENAGEMENT DE LA ROUTE BOKE-QUEBO GUINEE – GUINEE BISSAU happening in Multinational which has status as Approved ->,"Project was approved on 10-Oct-2018. 
"
P-NG-HAB-042 represents FIDELITY BANK happening in Nigeria which has status as Approved ->,"Project was approved on 10-Oct-2018. 
"
P-SN-FA0-005 represents PROJET D'AMELIORATION DE L'ACCES A L'ELECTRICITE DANS DES ZONES PERIURBAINES ET RURALES happening in Senegal which has status as Approved ->,"Project was approved on 03-Oct-2018. 
"
P-SN-KZ0-004 represents PROGRAMME D'URGENCE DE DÉVELOPPEMENT COMMUNAUTAIRE - PUDC happening in Senegal which has status as Approved ->,"Project was approved on 27-Sep-2018. 
"
P-RW-FA0-016 represents RESULTS BASED FINANCING - SCALING UP ELECTRICITY ACCESS PROGRAM II happening in Rwanda which has status as Ongoing ->,"Project was approved on 27-Sep-2018. 
"
P-GH-A00-006 represents GHANA INCENTIVE-BASED RISK SHARING FOR AGRICULTURE LENDING happening in Ghana which has status as Approved ->,"Project was approved on 26-Sep-2018. 
"
P-ZA-FA0-003 represents ESKOM TRANSMISSION IMPROVEMENT PROJECT happening in South Africa which has status as Approved ->,"Project was approved on 25-Sep-2018. 
"
P-NG-HAB-044 represents STERLING BANK - IMPROVING THE QUALITY OF LIFE OF THE PEOPLE OF RURAL NIGERIA happening in Nigeria which has status as Approved ->,"Project was approved on 25-Sep-2018. 
"
P-Z1-IZ0-030 represents BASSIN DU LAC TCHAD - PROJET D'APPUI A LA REINSERTION SOCIOECONOMIQUE DES GROUPES VULNERABLES-CMR happening in Multinational which has status as Approved ->,"Project was approved on 25-Sep-2018. 
"
P-Z1-IZ0-031 represents BASSIN DU LAC TCHAD - PROJET D'APPUI A LA REINSERTION SOCIOECONOMIQUE DES GROUPES VULNERABLES-RCA happening in Multinational which has status as Approved ->,"Project was approved on 25-Sep-2018. 
"
P-Z1-IZ0-032 represents BASSIN DU LAC TCHAD - PROJET D'APPUI A LA REINSERTION SOCIOECONOMIQUE DES GROUPES VULNERABLES-CHAD happening in Multinational which has status as Approved ->,"Project was approved on 25-Sep-2018. 
"
P-Z1-DB0-172 represents MANO RIVER UNION ROAD DEVELOPMENT AND TRANSPORT FACILITATION PROGRAMME (MRU/RDTFP) (PHASE II) happening in Multinational which has status as Approved ->,"Project was approved on 19-Sep-2018. 
"
P-NG-AAG-008 represents FLOUR MILLS OF NIGERIA PLC happening in Nigeria which has status as Approved ->,"Project was approved on 19-Sep-2018. 
"
P-ML-FA0-004 represents PROJET DE DEVELOPPEMENT DE MINI CENTRALES HYDROELECTRIQUES AU MALI happening in Mali which has status as Ongoing ->,"Project was approved on 17-Sep-2018. 
"
P-GM-E00-007 represents CLIMATE SMART RURAL WASH DEVELOPMENT PROJECT happening in Gambia which has status as Approved ->,"Project was approved on 17-Sep-2018. 
"
P-SN-K00-010 represents PROJET APPUI AU DEVELOP DE COMPETENCES ET DE L'ENTREPRENARIAT DES JEUNES DANS SECTEURS PORTEURS happening in Senegal which has status as Approved ->,"Project was approved on 17-Sep-2018. 
"
P-BF-I00-002 represents PROJET D’EMPLOI DES JEUNES ET DÉVELOPPEMENT DES COMPÉTENCES EN MILIEU RURAL happening in Burkina Faso which has status as Approved ->,"Project was approved on 17-Sep-2018. 
"
P-LR-AAD-001 represents SCALING UP THE PARTICIPATION OF SMES IN THE SECONDARY WOOD PROCESSING INDUSTRY happening in Liberia which has status as Approved ->,"Project was approved on 14-Sep-2018. 
"
P-LR-K00-018 represents TECHNICAL AND CAPACITY BUILDING ASSISTANCE TO THE GOVERNMENT OF LIBERIA happening in Liberia which has status as Approved ->,"Project was approved on 13-Sep-2018. 
"
"P-CM-AAE-003 represents CAMEROUN_PROJET DÉVELOPPEMENT CHAINE DE VALEURS , ELEVAGE ET PÊCHE happening in Cameroon which has status as Approved ->","Project was approved on 12-Sep-2018. 
"
P-SO-IZ0-009 represents EMERGENCY HUMANITARIAN ASSISTANCE TO CYCLONE AND FLOOD VICTIMS- SOMALIA happening in Somalia which has status as Approved ->,"Project was approved on 11-Sep-2018. 
"
P-GN-KF0-005 represents PROJET D’ASSISTANCE TECHNIQUE POUR LA MISE EN ŒUVRE DU PNDES 2016-2020 happening in Guinea which has status as Approved ->,"Project was approved on 06-Sep-2018. 
"
P-SD-I00-001 represents EMERGENCY ASSISTANCE TO WHITE NILE STATE 2018 happening in Sudan which has status as Approved ->,"Project was approved on 06-Sep-2018. 
"
P-SN-H00-005 represents SENEGAL GARANTIE PARTIELLE DE CREDIT POUR LA COUVERTURE DU RISQUE DE CHANGE happening in Senegal which has status as Approved ->,"Project was approved on 05-Sep-2018. 
"
P-NG-DB0-007 represents STUDY FOR CROSS RIVER STATE RURAL ACCESS AND MOBILITY PROJECT PHASE 2 (RAMP 2) happening in Nigeria which has status as Approved ->,"Project was approved on 03-Sep-2018. 
"
P-LR-KA0-004 represents ECONOMIC GOVERNANCE REFORM AND COMPETITIVENESS SUPPORT PROGRAM (EGRCSP) happening in Liberia which has status as Ongoing ->,"Project was approved on 31-Jul-2018. 
"
P-MG-KA0-011 represents PROGRAMME D'APPUI À LA COMPETITIVITE ECONOMIQUE PHASE II happening in Madagascar which has status as Approved ->,"Project was approved on 20-Jul-2018. 
"
P-MZ-AA0-034 represents AGRICULTURAL VALUE CHAIN AND YOUTH EMPOWERMENT PROJECT happening in Mozambique which has status as Ongoing ->,"Project was approved on 20-Jul-2018. 
"
P-MZ-AAC-006 represents MASSINGIR DAM EMERGENCY REHABILITATION PROJECT SUPPLEMENTARY GRANT (MDERP-SG) happening in Mozambique which has status as Ongoing ->,"Project was approved on 20-Jul-2018. 
"
P-TZ-FA0-013 represents NORTH-WEST TRANSMISISON GRID happening in Tanzania which has status as Approved ->,"Project was approved on 20-Jul-2018. 
"
P-UG-HAA-007 represents UGANDA DEVELOPMENT BANK SOVEREIGN GUARANTEED - LOC happening in Uganda which has status as Approved ->,"Project was approved on 20-Jul-2018. 
"
"P-Z1-I00-011 represents PROJET D’APPUI A L’INTEGRATION DE LA FORMATION (PAIF) DANS LES METIERS DE LA ROUTE, DU CHEMIN happening in Multinational which has status as Ongoing ->","Project was approved on 20-Jul-2018. 
"
P-UG-HAA-006 represents UGANDA DEVELOPMENT BANK LINE OF CREDIT happening in Uganda which has status as Approved ->,"Project was approved on 20-Jul-2018. 
"
P-BF-KZ0-001 represents PROGRAMME D'APPUI AUX RÉFORMES DANS LE SECTEUR DE L'ÉNERGIE happening in Burkina Faso which has status as Ongoing ->,"Project was approved on 18-Jul-2018. 
"
P-CV-KA0-008 represents PRIVATE SECTOR COMPETITIVENESS AND LOCAL ECONOMIC DEVELOPMENT PROGRAMME (PSC-LED) - PHASE I happening in Cape Verde which has status as Ongoing ->,"Project was approved on 18-Jul-2018. 
"
P-KE-K00-005 represents MIC-TAF-TECHNICAL ASSISTANCE TO THE PRESIDENT DELIVERY UNIT happening in Kenya which has status as Approved ->,"Project was approved on 18-Jul-2018. 
"
P-NA-KA0-002 represents ECONOMIC GOVERNANCE AND COMPETITIVENESS SUPPORT PROGRAM (PHASE II) happening in Namibia which has status as Approved ->,"Project was approved on 18-Jul-2018. 
"
P-TG-AA0-009 represents PROJET DE TRANSFORMATION AGRO-ALIMENTAIRE AU TOGO - ZTA TOGO happening in Togo which has status as Approved ->,"Project was approved on 18-Jul-2018. 
"
P-Z1-CZ0-005 represents LAKE CHAD BASIN NATURAL RESOURCES MANAGE happening in Multinational which has status as Approved ->,"Project was approved on 18-Jul-2018. 
"
P-Z1-CZ0-019 represents PROGRAMME TO REHABILITATE AND STRENGTHEN THE RESILIENCE OF LAKE CHAD BASIN SYSTEMS (PRESIBALT)CAMER happening in Multinational which has status as Approved ->,"Project was approved on 18-Jul-2018. 
"
P-Z1-CZ0-020 represents PROGRAMME TO REHABILITATE AND STRENGTHEN THE RESILIENCE OF LAKE CHAD BASIN SYSTEMS (PRESIBALT) RCA happening in Multinational which has status as Approved ->,"Project was approved on 18-Jul-2018. 
"
P-Z1-CZ0-021 represents PROGRAMME TO REHABILITATE AND STRENGTHEN THE RESILIENCE OF LAKE CHAD BASIN SYSTEMS (PRESIBALT)CHAD happening in Multinational which has status as Approved ->,"Project was approved on 18-Jul-2018. 
"
P-Z1-CZ0-023 represents NIGER THE GLOBAL ENVIRONMENT FACILITY FOR THE PROGRAMME TO REHABILITATE AND STRENGTHEN(PRESIBALT) happening in Multinational which has status as Approved ->,"Project was approved on 18-Jul-2018. 
"
P-Z1-HA0-022 represents ABSA BANK LIMITED happening in Multinational which has status as Approved ->,"Project was approved on 18-Jul-2018. 
"
P-CM-E00-008 represents ETUDES D'UN PROGRAMME DE 350 RESEAUX SIMPLIFIES D’ALIMENTATION EN EAU POTABLE EN MILIEU RURAL happening in Cameroon which has status as Approved ->,"Project was approved on 17-Jul-2018. 
"
P-ML-KF0-001 represents PROJET D'APPUI À LA COMPETITIVITE DE L'ECONOMIE MALIENNE - PACEM happening in Mali which has status as Ongoing ->,"Project was approved on 12-Jul-2018. 
"
P-TD-E00-005 represents PROGRAMME EAU POTABLE ET ASSAINISSEMENT EN MILIEUX SEMI-URBAIN ET RURAL DE ONZE PREFECTURES PHASE I. happening in Chad which has status as Ongoing ->,"Project was approved on 12-Jul-2018. 
"
P-TZ-KA0-005 represents GOOD GOVERNANCE AND PRIVATE SECTOR DEVELOPMENT SUPPORT PROGRAM PHASE I happening in Tanzania which has status as Ongoing ->,"Project was approved on 11-Jul-2018. 
"
P-GH-HAB-011 represents CAL BANK happening in Ghana which has status as Approved ->,"Project was approved on 09-Jul-2018. 
"
P-GW-FA0-005 represents PROJET DE DEVELOPPEMENT DU SYSTEME DE DISTRIBUTION DE L'ELECTRICITE DANS LA VILLE DE BISSAU happening in Guinea-Bissau which has status as Ongoing ->,"Project was approved on 03-Jul-2018. 
"
P-Z1-DB0-136 represents REHAB LOME COTONOU PHAS2 ET DE PROTECTION COTIERE-TOGO happening in Multinational which has status as Ongoing ->,"Project was approved on 29-Jun-2018. 
"
P-Z1-DB0-174 represents REHAB LOME COTONOU PHAS2 ET DE PROTECTION COTIERE-BENIN happening in Multinational which has status as Ongoing ->,"Project was approved on 29-Jun-2018. 
"
P-Z1-DB0-160 represents PROJET ROUTE COYAH-FORECARIAH-FARMORÉAH (GUINÉE-SIERRA LEONE) happening in Multinational which has status as Ongoing ->,"Project was approved on 29-Jun-2018. 
"
