Question,Answer
Details regarding project P-ML-I00-006,The project named projet d’autonomisation economique des femmes dans la filiere karite (paeffk) happening in mali with code P-ML-I00-006 was approved on 03-Dec-2018 with the current project status as Approved
Details regarding project P-KE-AAD-005,The project named green zones development support project-phase 2 happening in kenya with code P-KE-AAD-005 was approved on 03-Dec-2018 with the current project status as Approved
Details regarding project P-NG-KA0-005,The project named institutional support project for economic management and delivery project happening in nigeria with code P-NG-KA0-005 was approved on 03-Dec-2018 with the current project status as Approved
Details regarding project P-Z1-FA0-165,The project named projet hydroelectrique ruzizi iv-etats des grands lacs-egl happening in multinational with code P-Z1-FA0-165 was approved on 02-Dec-2018 with the current project status as Approved
Details regarding project P-ZA-FF0-001,The project named redstone concentrated solar power happening in south africa with code P-ZA-FF0-001 was approved on 29-Nov-2018 with the current project status as Approved
Details regarding project P-CM-K00-009,The project named programme d’appui à la compétitivité et la croissance économique phase ii happening in cameroon with code P-CM-K00-009 was approved on 29-Nov-2018 with the current project status as Approved
Details regarding project P-NG-F00-020,The project named nigeria electrification project happening in nigeria with code P-NG-F00-020 was approved on 29-Nov-2018 with the current project status as Approved
Details regarding project P-SZ-EA0-003,The project named manzini region water supply and sanitation project happening in swaziland with code P-SZ-EA0-003 was approved on 29-Nov-2018 with the current project status as Approved
Details regarding project P-Z1-DB0-225,The project named eac-rehabilitation of selected road-osbp manyovu-mugina border post (burundi-tanzania road) project happening in multinational with code P-Z1-DB0-225 was approved on 29-Nov-2018 with the current project status as Approved
Details regarding project P-Z1-HA0-024,The project named firstrand bank limited happening in multinational with code P-Z1-HA0-024 was approved on 29-Nov-2018 with the current project status as Approved
Details regarding project P-Z1-D00-045,The project named madagascar-océan indien: projet d'aménagement de corridors et de facilitation de commerce happening in multinational with code P-Z1-D00-045 was approved on 27-Nov-2018 with the current project status as Approved
Details regarding project P-CM-DB0-017,The project named programme d'appui au secteur des transports - phase 3: construction de la ring road happening in cameroon with code P-CM-DB0-017 was approved on 27-Nov-2018 with the current project status as Approved
Details regarding project P-KE-FF0-001,The project named kopere 40 mw solar pv ipp happening in kenya with code P-KE-FF0-001 was approved on 27-Nov-2018 with the current project status as Approved
Details regarding project P-NE-KA0-013,The project named programme d'appui aux réformes et a la resilience economique phase 2 happening in niger with code P-NE-KA0-013 was approved on 27-Nov-2018 with the current project status as Ongoing
Details regarding project P-GH-A00-007,The project named cocobod happening in ghana with code P-GH-A00-007 was approved on 27-Nov-2018 with the current project status as Approved
Details regarding project P-SN-F00-009,The project named malicounda 120 mw hfo ipp happening in senegal with code P-SN-F00-009 was approved on 27-Nov-2018 with the current project status as Approved
Details regarding project P-Z1-DB0-204,The project named multinational (tanzania) tz/bdi:rumonge–gitaza/kibondo-kasulu-manyovu road project happening in multinational with code P-Z1-DB0-204 was approved on 22-Nov-2018 with the current project status as Approved
Details regarding project P-Z1-DB0-224,The project named multinational (burundi) bdi/tz: rumonge–gitaza/kibondo-kasulu-manyovu road project happening in multinational with code P-Z1-DB0-224 was approved on 22-Nov-2018 with the current project status as Approved
Details regarding project P-GA-KA0-007,The project named programme d’appui aux réformes economiques et financières phase iii(paref iii) happening in gabon with code P-GA-KA0-007 was approved on 22-Nov-2018 with the current project status as Approved
Details regarding project P-MA-B00-002,The project named jorf phosphate hub expansion program - ocp ii loan happening in morocco with code P-MA-B00-002 was approved on 22-Nov-2018 with the current project status as Approved
Details regarding project P-GN-A00-004,The project named projet d’appui à la transformation de l’agriculture guinéenne-patag-jeune happening in guinea with code P-GN-A00-004 was approved on 21-Nov-2018 with the current project status as Approved
Details regarding project P-KE-EA0-006,The project named thwake multipurpose water development program i - additional financing happening in kenya with code P-KE-EA0-006 was approved on 14-Nov-2018 with the current project status as Approved
Details regarding project P-ET-K00-015,The project named ethiopia basic services transformation program- supplementary financing happening in ethiopia with code P-ET-K00-015 was approved on 14-Nov-2018 with the current project status as Approved
Details regarding project P-Z1-KF0-056,The project named industrial policy support - fapa happening in multinational with code P-Z1-KF0-056 was approved on 13-Nov-2018 with the current project status as Approved
Details regarding project P-TN-IA0-006,The project named assistance d’urgence aux etablissements scolaires affectes par les intemperies dans nabeul happening in tunisia with code P-TN-IA0-006 was approved on 13-Nov-2018 with the current project status as Approved
Details regarding project P-Z1-C00-069,The project named nigeria-abn programme integre de developpement et d'adaptation aux cc dans le bassin du niger happening in multinational with code P-Z1-C00-069 was approved on 07-Nov-2018 with the current project status as Approved
Details regarding project P-CI-FA0-017,The project named projet d'amelioration de l'acces a l'electricite en milieu rural happening in côte d'ivoire with code P-CI-FA0-017 was approved on 07-Nov-2018 with the current project status as Approved
Details regarding project P-MA-DA0-006,The project named projet d’extension et de modernisation de l’aéroport de rabat salé happening in morocco with code P-MA-DA0-006 was approved on 05-Nov-2018 with the current project status as Approved
Details regarding project P-MA-E00-011,The project named projet de perennisation et de securisation de l'acces a l'eau happening in morocco with code P-MA-E00-011 was approved on 05-Nov-2018 with the current project status as Approved
Details regarding project P-Z1-DZ0-024,The project named angololo multipurpose water resources development project happening in multinational with code P-Z1-DZ0-024 was approved on 02-Nov-2018 with the current project status as Approved
Details regarding project P-BJ-K00-005,The project named programme d'appui à la compétitivité économique du bénin happening in benin with code P-BJ-K00-005 was approved on 31-Oct-2018 with the current project status as Approved
Details regarding project P-TD-AB0-004,The project named projet d'etude d'amenagement de 135 000 hectares happening in chad with code P-TD-AB0-004 was approved on 31-Oct-2018 with the current project status as Approved
Details regarding project P-TD-K00-009,The project named programme d'appui a la relance economique (pare) i happening in chad with code P-TD-K00-009 was approved on 31-Oct-2018 with the current project status as Approved
Details regarding project P-UG-DB0-023,The project named kampala - jinja expressway project (sovereign operations - phase 1) happening in uganda with code P-UG-DB0-023 was approved on 31-Oct-2018 with the current project status as Approved
Details regarding project P-Z1-HAB-051,The project named natixis risk participation agreement happening in multinational with code P-Z1-HAB-051 was approved on 31-Oct-2018 with the current project status as Approved
Details regarding project P-BF-A00-013,The project named opreation d'aide d'urgence pour la lutte contre la chenille legionnaire happening in burkina faso with code P-BF-A00-013 was approved on 30-Oct-2018 with the current project status as Approved
Details regarding project P-SZ-DB0-013,The project named construction of manzini mbadlane golf interchange happening in swaziland with code P-SZ-DB0-013 was approved on 24-Oct-2018 with the current project status as Approved
Details regarding project P-CF-A00-003,The project named projet de developpement des chaines de valeur agricole (taat) happening in centrafrique with code P-CF-A00-003 was approved on 22-Oct-2018 with the current project status as Ongoing
Details regarding project P-MW-E00-011,The project named nkhata bay town water supply and sanitation project happening in malawi with code P-MW-E00-011 was approved on 22-Oct-2018 with the current project status as Approved
Details regarding project P-DJ-IA0-004,The project named aide d’urgence pour la rehabilitation des infrastructures scolaires endommagees par le cyclone happening in djibouti with code P-DJ-IA0-004 was approved on 18-Oct-2018 with the current project status as Approved
Details regarding project P-ZA-D00-004,The project named sa commuter transit happening in south africa with code P-ZA-D00-004 was approved on 18-Oct-2018 with the current project status as Approved
Details regarding project P-CD-DA0-003,The project named projet prioritaire de securite aerienne phase 2 (ppsa 2) happening in dem rep congo with code P-CD-DA0-003 was approved on 18-Oct-2018 with the current project status as Approved
Details regarding project P-CI-D00-010,The project named projet de transport urbain - abidjan phase 2 happening in côte d'ivoire with code P-CI-D00-010 was approved on 16-Oct-2018 with the current project status as Approved
Details regarding project P-CI-AAZ-002,The project named aide humanitaires d’urgence des populations affectées par inondations pluies diluviennes à abidj happening in côte d'ivoire with code P-CI-AAZ-002 was approved on 11-Oct-2018 with the current project status as Approved
Details regarding project P-CD-IB0-001,The project named aide d'urgence pour la lutte contre l'epidemie de la maladie a vuris d'ebola en rdc happening in dem rep congo with code P-CD-IB0-001 was approved on 10-Oct-2018 with the current project status as Approved
Details regarding project P-TN-EB0-004,The project named assainissement des petites communes de moins de 10 000 habitants (phase i) rwssi happening in tunisia with code P-TN-EB0-004 was approved on 10-Oct-2018 with the current project status as Approved
Details regarding project P-TN-EB0-005,The project named ssainissement des petites communes de moins de 10 000 habitants (phase i) bad happening in tunisia with code P-TN-EB0-005 was approved on 10-Oct-2018 with the current project status as Approved
Details regarding project P-Z1-DB0-206,The project named projet d amenagement de la route boke-quebo guinee – guinee bissau happening in multinational with code P-Z1-DB0-206 was approved on 10-Oct-2018 with the current project status as Approved
Details regarding project P-Z1-DB0-221,The project named projet d amenagement de la route boke-quebo guinee – guinee bissau happening in multinational with code P-Z1-DB0-221 was approved on 10-Oct-2018 with the current project status as Approved
Details regarding project P-NG-HAB-042,The project named fidelity bank happening in nigeria with code P-NG-HAB-042 was approved on 10-Oct-2018 with the current project status as Approved
Details regarding project P-SN-FA0-005,The project named projet d'amelioration de l'acces a l'electricite dans des zones periurbaines et rurales happening in senegal with code P-SN-FA0-005 was approved on 03-Oct-2018 with the current project status as Approved
Details regarding project P-SN-KZ0-004,The project named programme d'urgence de développement communautaire - pudc happening in senegal with code P-SN-KZ0-004 was approved on 27-Sep-2018 with the current project status as Approved
Details regarding project P-RW-FA0-016,The project named results based financing - scaling up electricity access program ii happening in rwanda with code P-RW-FA0-016 was approved on 27-Sep-2018 with the current project status as Ongoing
Details regarding project P-GH-A00-006,The project named ghana incentive-based risk sharing for agriculture lending happening in ghana with code P-GH-A00-006 was approved on 26-Sep-2018 with the current project status as Approved
Details regarding project P-ZA-FA0-003,The project named eskom transmission improvement project happening in south africa with code P-ZA-FA0-003 was approved on 25-Sep-2018 with the current project status as Approved
Details regarding project P-NG-HAB-044,The project named sterling bank - improving the quality of life of the people of rural nigeria happening in nigeria with code P-NG-HAB-044 was approved on 25-Sep-2018 with the current project status as Approved
Details regarding project P-Z1-IZ0-030,The project named bassin du lac tchad - projet d'appui a la reinsertion socioeconomique des groupes vulnerables-cmr happening in multinational with code P-Z1-IZ0-030 was approved on 25-Sep-2018 with the current project status as Approved
Details regarding project P-Z1-IZ0-031,The project named bassin du lac tchad - projet d'appui a la reinsertion socioeconomique des groupes vulnerables-rca happening in multinational with code P-Z1-IZ0-031 was approved on 25-Sep-2018 with the current project status as Approved
Details regarding project P-Z1-IZ0-032,The project named bassin du lac tchad - projet d'appui a la reinsertion socioeconomique des groupes vulnerables-chad happening in multinational with code P-Z1-IZ0-032 was approved on 25-Sep-2018 with the current project status as Approved
Details regarding project P-Z1-DB0-172,The project named mano river union road development and transport facilitation programme (mru/rdtfp) (phase ii) happening in multinational with code P-Z1-DB0-172 was approved on 19-Sep-2018 with the current project status as Approved
Details regarding project P-NG-AAG-008,The project named flour mills of nigeria plc happening in nigeria with code P-NG-AAG-008 was approved on 19-Sep-2018 with the current project status as Approved
Details regarding project P-ML-FA0-004,The project named projet de developpement de mini centrales hydroelectriques au mali happening in mali with code P-ML-FA0-004 was approved on 17-Sep-2018 with the current project status as Ongoing
Details regarding project P-GM-E00-007,The project named climate smart rural wash development project happening in gambia with code P-GM-E00-007 was approved on 17-Sep-2018 with the current project status as Approved
Details regarding project P-SN-K00-010,The project named projet appui au develop de competences et de l'entreprenariat des jeunes dans secteurs porteurs happening in senegal with code P-SN-K00-010 was approved on 17-Sep-2018 with the current project status as Approved
Details regarding project P-BF-I00-002,The project named projet d’emploi des jeunes et développement des compétences en milieu rural happening in burkina faso with code P-BF-I00-002 was approved on 17-Sep-2018 with the current project status as Approved
Details regarding project P-LR-AAD-001,The project named scaling up the participation of smes in the secondary wood processing industry happening in liberia with code P-LR-AAD-001 was approved on 14-Sep-2018 with the current project status as Approved
Details regarding project P-LR-K00-018,The project named technical and capacity building assistance to the government of liberia happening in liberia with code P-LR-K00-018 was approved on 13-Sep-2018 with the current project status as Approved
Details regarding project P-CM-AAE-003,"The project named cameroun_projet développement chaine de valeurs , elevage et pêche happening in cameroon with code P-CM-AAE-003 was approved on 12-Sep-2018 with the current project status as Approved"
Details regarding project P-SO-IZ0-009,The project named emergency humanitarian assistance to cyclone and flood victims- somalia happening in somalia with code P-SO-IZ0-009 was approved on 11-Sep-2018 with the current project status as Approved
Details regarding project P-GN-KF0-005,The project named projet d’assistance technique pour la mise en œuvre du pndes 2016-2020 happening in guinea with code P-GN-KF0-005 was approved on 06-Sep-2018 with the current project status as Approved
Details regarding project P-SD-I00-001,The project named emergency assistance to white nile state 2018 happening in sudan with code P-SD-I00-001 was approved on 06-Sep-2018 with the current project status as Approved
Details regarding project P-SN-H00-005,The project named senegal garantie partielle de credit pour la couverture du risque de change happening in senegal with code P-SN-H00-005 was approved on 05-Sep-2018 with the current project status as Approved
Details regarding project P-NG-DB0-007,The project named study for cross river state rural access and mobility project phase 2 (ramp 2) happening in nigeria with code P-NG-DB0-007 was approved on 03-Sep-2018 with the current project status as Approved
Details regarding project P-LR-KA0-004,The project named economic governance reform and competitiveness support program (egrcsp) happening in liberia with code P-LR-KA0-004 was approved on 31-Jul-2018 with the current project status as Ongoing
Details regarding project P-MG-KA0-011,The project named programme d'appui à la competitivite economique phase ii happening in madagascar with code P-MG-KA0-011 was approved on 20-Jul-2018 with the current project status as Approved
Details regarding project P-MZ-AA0-034,The project named agricultural value chain and youth empowerment project happening in mozambique with code P-MZ-AA0-034 was approved on 20-Jul-2018 with the current project status as Ongoing
Details regarding project P-MZ-AAC-006,The project named massingir dam emergency rehabilitation project supplementary grant (mderp-sg) happening in mozambique with code P-MZ-AAC-006 was approved on 20-Jul-2018 with the current project status as Ongoing
Details regarding project P-TZ-FA0-013,The project named north-west transmisison grid happening in tanzania with code P-TZ-FA0-013 was approved on 20-Jul-2018 with the current project status as Approved
Details regarding project P-UG-HAA-007,The project named uganda development bank sovereign guaranteed - loc happening in uganda with code P-UG-HAA-007 was approved on 20-Jul-2018 with the current project status as Approved
Details regarding project P-Z1-I00-011,"The project named projet d’appui a l’integration de la formation (paif) dans les metiers de la route, du chemin happening in multinational with code P-Z1-I00-011 was approved on 20-Jul-2018 with the current project status as Ongoing"
Details regarding project P-UG-HAA-006,The project named uganda development bank line of credit happening in uganda with code P-UG-HAA-006 was approved on 20-Jul-2018 with the current project status as Approved
Details regarding project P-BF-KZ0-001,The project named programme d'appui aux réformes dans le secteur de l'énergie happening in burkina faso with code P-BF-KZ0-001 was approved on 18-Jul-2018 with the current project status as Ongoing
Details regarding project P-CV-KA0-008,The project named private sector competitiveness and local economic development programme (psc-led) - phase i happening in cape verde with code P-CV-KA0-008 was approved on 18-Jul-2018 with the current project status as Ongoing
Details regarding project P-KE-K00-005,The project named mic-taf-technical assistance to the president delivery unit happening in kenya with code P-KE-K00-005 was approved on 18-Jul-2018 with the current project status as Approved
Details regarding project P-NA-KA0-002,The project named economic governance and competitiveness support program (phase ii) happening in namibia with code P-NA-KA0-002 was approved on 18-Jul-2018 with the current project status as Approved
Details regarding project P-TG-AA0-009,The project named projet de transformation agro-alimentaire au togo - zta togo happening in togo with code P-TG-AA0-009 was approved on 18-Jul-2018 with the current project status as Approved
Details regarding project P-Z1-CZ0-005,The project named lake chad basin natural resources manage happening in multinational with code P-Z1-CZ0-005 was approved on 18-Jul-2018 with the current project status as Approved
Details regarding project P-Z1-CZ0-019,The project named programme to rehabilitate and strengthen the resilience of lake chad basin systems (presibalt)camer happening in multinational with code P-Z1-CZ0-019 was approved on 18-Jul-2018 with the current project status as Approved
Details regarding project P-Z1-CZ0-020,The project named programme to rehabilitate and strengthen the resilience of lake chad basin systems (presibalt) rca happening in multinational with code P-Z1-CZ0-020 was approved on 18-Jul-2018 with the current project status as Approved
Details regarding project P-Z1-CZ0-021,The project named programme to rehabilitate and strengthen the resilience of lake chad basin systems (presibalt)chad happening in multinational with code P-Z1-CZ0-021 was approved on 18-Jul-2018 with the current project status as Approved
Details regarding project P-Z1-CZ0-023,The project named niger the global environment facility for the programme to rehabilitate and strengthen(presibalt) happening in multinational with code P-Z1-CZ0-023 was approved on 18-Jul-2018 with the current project status as Approved
Details regarding project P-Z1-HA0-022,The project named absa bank limited happening in multinational with code P-Z1-HA0-022 was approved on 18-Jul-2018 with the current project status as Approved
Details regarding project P-CM-E00-008,The project named etudes d'un programme de 350 reseaux simplifies d’alimentation en eau potable en milieu rural happening in cameroon with code P-CM-E00-008 was approved on 17-Jul-2018 with the current project status as Approved
Details regarding project P-ML-KF0-001,The project named projet d'appui à la competitivite de l'economie malienne - pacem happening in mali with code P-ML-KF0-001 was approved on 12-Jul-2018 with the current project status as Ongoing
Details regarding project P-TD-E00-005,The project named programme eau potable et assainissement en milieux semi-urbain et rural de onze prefectures phase i. happening in chad with code P-TD-E00-005 was approved on 12-Jul-2018 with the current project status as Ongoing
Details regarding project P-TZ-KA0-005,The project named good governance and private sector development support program phase i happening in tanzania with code P-TZ-KA0-005 was approved on 11-Jul-2018 with the current project status as Ongoing
Details regarding project P-GH-HAB-011,The project named cal bank happening in ghana with code P-GH-HAB-011 was approved on 09-Jul-2018 with the current project status as Approved
Details regarding project P-GW-FA0-005,The project named projet de developpement du systeme de distribution de l'electricite dans la ville de bissau happening in guinea-bissau with code P-GW-FA0-005 was approved on 03-Jul-2018 with the current project status as Ongoing
Details regarding project P-Z1-DB0-136,The project named rehab lome cotonou phas2 et de protection cotiere-togo happening in multinational with code P-Z1-DB0-136 was approved on 29-Jun-2018 with the current project status as Ongoing
Details regarding project P-Z1-DB0-174,The project named rehab lome cotonou phas2 et de protection cotiere-benin happening in multinational with code P-Z1-DB0-174 was approved on 29-Jun-2018 with the current project status as Ongoing
Details regarding project P-Z1-DB0-160,The project named projet route coyah-forecariah-farmoréah (guinée-sierra leone) happening in multinational with code P-Z1-DB0-160 was approved on 29-Jun-2018 with the current project status as Ongoing
Details regarding project P-Z1-FA0-119,The project named niger-projet d'interconnexion nigeria-niger-benin-burkina faso happening in multinational with code P-Z1-FA0-119 was approved on 29-Jun-2018 with the current project status as Approved
Details regarding project P-BW-BZ0-001,The project named botswana support to economic diversification technical assistance project happening in botswana with code P-BW-BZ0-001 was approved on 29-Jun-2018 with the current project status as Approved
Details regarding project P-GA-K00-007,The project named projet d’appui a la diversification de l'economie gabonaise (padeg) happening in gabon with code P-GA-K00-007 was approved on 29-Jun-2018 with the current project status as Approved
Details regarding project P-Z1-FZ0-018,The project named scaling-up the clean cooking industry in africa happening in multinational with code P-Z1-FZ0-018 was approved on 29-Jun-2018 with the current project status as Ongoing
Details regarding project P-Z1-KB0-015,The project named fapa technical assistance for afdb’s entrepreneurship lab happening in multinational with code P-Z1-KB0-015 was approved on 29-Jun-2018 with the current project status as Ongoing
Details regarding project P-Z1-KB0-014,The project named fashionomics africa online - initiative happening in multinational with code P-Z1-KB0-014 was approved on 28-Jun-2018 with the current project status as Ongoing
Details regarding project P-Z1-DB0-152,The project named ci - projet d’amenagement et de facilitation de transport sur le corridor bamako-zantiebougou happening in multinational with code P-Z1-DB0-152 was approved on 27-Jun-2018 with the current project status as Ongoing
Details regarding project P-Z1-DB0-182,The project named renforcement de la route nationale n°4 (rn04) gounghin-fada n’gourma-piéga-frontière du niger happening in multinational with code P-Z1-DB0-182 was approved on 27-Jun-2018 with the current project status as Ongoing
Details regarding project P-Z1-FA0-148,The project named projet d'interconnexion électrique en 225 kv guinée-mali happening in multinational with code P-Z1-FA0-148 was approved on 27-Jun-2018 with the current project status as Ongoing
Details regarding project P-MA-HA0-005,The project named banque centrale populaire happening in morocco with code P-MA-HA0-005 was approved on 27-Jun-2018 with the current project status as Approved
Details regarding project P-SN-DB0-023,The project named réhabilitation de la route sénoba - ziguinchor - mpack et desenclavement des regions sud happening in senegal with code P-SN-DB0-023 was approved on 27-Jun-2018 with the current project status as Ongoing
Details regarding project P-SN-KE0-004,The project named projet de desenclavement des zones de productions pdzp/pndl happening in senegal with code P-SN-KE0-004 was approved on 22-Jun-2018 with the current project status as Ongoing
Details regarding project P-TZ-A00-008,The project named tanzania initiative for preventing aflatoxin contamination (tanipac) happening in tanzania with code P-TZ-A00-008 was approved on 20-Jun-2018 with the current project status as Approved
Details regarding project P-UG-E00-016,The project named strategic towns water supply and sanitation project happening in uganda with code P-UG-E00-016 was approved on 20-Jun-2018 with the current project status as Approved
Details regarding project P-RW-E00-008,The project named kigali bulk water supply project happening in rwanda with code P-RW-E00-008 was approved on 19-Jun-2018 with the current project status as Ongoing
Details regarding project P-CI-FA0-015,The project named zola ci deployment of pay-as-you-go solar systems happening in côte d'ivoire with code P-CI-FA0-015 was approved on 13-Jun-2018 with the current project status as Approved
Details regarding project P-ZW-K00-006,The project named innovative solutions to support livelihood of vulnerable communities project (isv-com) happening in zimbabwe with code P-ZW-K00-006 was approved on 13-Jun-2018 with the current project status as Ongoing
Details regarding project P-GW-AA0-012,The project named aide d’urgence pour la lutte contre spodoptera en guinée bissau happening in guinea-bissau with code P-GW-AA0-012 was approved on 08-Jun-2018 with the current project status as Ongoing
